sku,category,name,price_mxn,stock,brand
SSD-013,SSD,Gaming NVMe 1TB,509,41,Titan
SSD-014,SSD,Gaming NVMe 2TB,819,14,Vertex
SSD-015,SSD,Enterprise SSD 1TB,5538,30,NovaTech
SSD-016,SSD,Enterprise SSD 2TB,4446,72,NovaTech
SSD-017,SSD,Enterprise SSD 4TB,1903,62,NovaTech
SSD-018,SSD,Budget SSD 500GB,2560,16,Titan
SSD-019,SSD,Budget SSD 1TB,3205,33,Orion
SSD-020,SSD,Creator SSD 4TB,7432,27,Orion
RAM-001,RAM,DDR5 16GB 5600,11902,25,Vertex
RAM-002,RAM,DDR5 32GB 5600,7137,47,Titan
RAM-003,RAM,DDR5 32GB 6000,9079,57,NovaTech
RAM-004,RAM,DDR5 64GB 6000,4661,28,NovaTech
RAM-005,RAM,DDR5 96GB 6400,6139,2,Orion
RAM-006,RAM,DDR5 16GB RGB,9675,29,Orion
RAM-007,RAM,DDR5 32GB RGB,4208,0,NovaTech
RAM-008,RAM,DDR5 64GB RGB,10939,7,Pulsar
RAM-009,RAM,DDR4 16GB 3200,1704,4,Vertex
RAM-010,RAM,DDR4 32GB 3200,1760,65,Pulsar
RAM-011,RAM,DDR4 64GB 3600,5162,62,Pulsar
RAM-012,RAM,DDR5 48GB 6000,9434,16,Orion
RAM-013,RAM,DDR5 24GB 6000,10040,60,Pulsar
RAM-014,RAM,DDR5 48GB RGB,8349,52,Pulsar
RAM-015,RAM,DDR5 96GB RGB,2145,12,Titan
RAM-016,RAM,Workstation DDR5 128GB,6404,54,Titan
RAM-017,RAM,Gaming DDR5 32GB,8251,6,NovaTech
RAM-018,RAM,Gaming DDR5 64GB,1593,51,Vertex
RAM-019,RAM,Budget DDR4 16GB,2390,31,Pulsar
RAM-020,RAM,Budget DDR4 32GB,3716,68,Titan
MON-001,MONITOR,"24"" FHD 144Hz",6393,54,Pulsar
MON-002,MONITOR,"27"" QHD 165Hz",10927,59,Pulsar
MON-003,MONITOR,"27"" QHD 240Hz",4270,56,Orion
MON-004,MONITOR,"32"" 4K 144Hz",5008,6,Orion
MON-005,MONITOR,"34"" Ultrawide 144Hz",29194,1,NovaTech
MON-006,MONITOR,"49"" Super Ultrawide",26492,30,Pulsar
MON-007,MONITOR,"24"" Office IPS",15117,62,Titan
MON-008,MONITOR,"27"" Office IPS",8804,51,NovaTech
MON-009,MONITOR,"32"" 4K IPS",7194,48,NovaTech
MON-010,MONITOR,"27"" OLED 240Hz",14593,33,Titan
MON-011,MONITOR,"32"" OLED 240Hz",11147,54,Orion
MON-012,MONITOR,"27"" MiniLED 180Hz",23488,62,Pulsar
MON-013,MONITOR,"34"" OLED Ultrawide",8022,37,Pulsar
MON-014,MONITOR,"24"" 75Hz",3716,74,Orion
MON-015,MONITOR,"27"" 100Hz",3797,40,NovaTech
MON-016,MONITOR,"27"" Gaming 180Hz",3443,74,Titan
MON-017,MONITOR,"32"" Gaming 165Hz",18277,67,Pulsar
MON-018,MONITOR,"43"" Productivity 4K",3663,65,NovaTech
MON-019,MONITOR,"Portable 15.6""",29696,23,NovaTech
MON-020,MONITOR,"Creator 32"" 4K",21298,8,Pulsar
